Regulatory Compliance Code,Regulatory Compliance Version,Family Control Code,Family Control Name,Family Control Description,Objective Code ,Objective Name,"Objective Description 
",Control Code ,Control Name ,Control Description,Implementation Specification,Required for Certification Indicator,Compliance Level,Control Type,Control Topics
HITRUST,2016V8.0,9,Communications and Operations Management,"To ensure that operating procedures are documented, maintained and made available to all users who need them.",9.06,Network Security Management,Ensure the protection of information in networks and protection of the supporting  network  infrastructure.,09.n,Security of Network Services,"Security features, service levels, and management requirements of all network services shall be identified and included in any network services agreement, whether these services are provided in-house or outsourced.
","The ability of the network service provider to manage agreed services in a secure way shall be determined and regularly monitored, and the right to audit shall be agreed by management. The security arrangements necessary for particular services including security features, service levels, and management requirements, shall be identified and documented.

The organization shall:

1. authorize connections from the information system to other information systems outside of the organization through the use of interconnection security agreements or other formal agreement;
2. centrally document for each connection, the interface characteristics, security requirements, and the nature of the information communicated; and
3. reviews and updates the interconnection security agreements on an ongoing basis verifying enforcement of security requirements.

The organization employs, and documents in a formal agreement or other document (e.g., an applicable security plan), either i) allow-all, deny-by-exception, or, ii) deny-all, permit-by-exception (preferred), policy for allowing specific information systems (defined in the applicable agreement, security plan, etc.) to connect to external information systems.

The organization requires external/outsourced service providers to identify the specific functions, ports, and protocols used in the provision of such external/outsourced services.

The contract with the external/outsourced service provider shall include the specification that the service provider is responsible for the protection of covered information shared in the contract.


",Y,,"
Organizational",Documentation and Records; Monitoring; Requirements (Legal and Contractual); Services and Acquisitions; Network Security
HITRUST,2016V8.0,9,Communications and Operations Management,"To ensure that operating procedures are documented, maintained and made available to all users who need them.",9.07,Media Handling,"Prevent unauthorized disclosure, modification, removal or destruction of information assets, or interruptions to business activities",09.o ,Management of Removable Media,Formal procedures shall be documented and implemented for the management of removable media.,"The organization shall formally establish and enforce controls (e.g., policies and procedures) for the management of removable media and laptops including:
1. restrictions on the type(s) of media, and usages thereof to maintain security;
2. registration of certain type(s) of media including laptops.

The organization limits the use of removable media to those with a valid business need.

Media containing covered information shall be physically stored and its data encrypted in accordance with the organization's data protection and privacy policy on the use of cryptographic controls (see 06.d) until the media are destroyed or sanitized (see 09.p) and commensurate with the confidentiality and integrity requirements for its data classification level.

Redundancy of storage shall be established in light of the risks to the removable media, including where storage retention requirements exceed the rated life of the media.

Organizations shall identify digital and non-digital media requiring restricted use and the specific safeguards necessary to restrict use.

The organization:

1. protects and controls digital and non-digital media containing sensitive information during transport outside of controlled areas using cryptography and tamper evident packaging and
i. if hand carried, using securable container (e.g., locked briefcase) via authorized personnel, or
ii. if shipped, track able with receipt by commercial carrier;
2. maintains accountability for information system media during transport outside of controlled areas;
3. documents activities associated with the transport of information system media; and
4. restricts the activities associated with transport of such media to authorized personnel.

Organizations shall restrict the use of writable, removable media and personally­ owned, removable media in organizational systems.",Y,,"
Organizational",Authorization; Cryptography; Documentation and Records; Media and Assets; Physical and Facility Security; Policies and Procedures
HITRUST,2016V8.0,9,Communications and Operations Management,"To ensure that operating procedures are documented, maintained and made available to all users who need them.",9.07,Media Handling,"Prevent unauthorized disclosure, modification, removal or destruction of information assets, or interruptions to business activities",09.p ,Disposal of Media,"Media shall be disposed of securely and safely when no longer required, using formal procedures that are documented.
","The organization shall destroy media when it is no longer needed for business or legal reasons.

Formal procedures for the secure disposal of media shall minimize the risk of information leakage to unauthorized persons. The procedures for the secure disposal of media containing information shall be commensurate with the sensitivity of that information.

The following items shall be addressed:

1. the use of generally-accepted secure disposal or erasure methods (see 08.1) for use by another application within the organization, for media that contains (or might contain) covered information; and
2. the identification of information that qualifies as covered, or a policy shall be developed that all information shall be considered covered in the absence of unequivocal evidence to the contrary.
It may be easier to arrange for all media items to be collected and disposed of securely, rather than attempting to separate out the items containing covered information. If collection and disposal services offered by other organizations are used, care shall be taken in selecting a suitable contractor with adequate controls and experience.

Procedures shall be implemented to prevent the aggregation effect, which may cause a large quantity of non-covered information to become covered for accumulating media for disposal.",Y,,"
Organizational",Media and Assets; Policies and Procedures; Services and Acquisitions; Third Parties and Contractors
HITRUST,2016V8.0,9,Communications and Operations Management,"To ensure that operating procedures are documented, maintained and made available to all users who need them.",9.07,Media Handling,"Prevent unauthorized disclosure, modification, removal or destruction of information assets, or interruptions to business activities",09.q,Information Handling Procedures,"Procedures for the handling and storage of information shall be established to protect this information from unauthorized disclosure or misuse.
","Procedures for handling, processing, communication and storage of information (including information media awaiting disposal) shall be established to protect data from unauthorized disclosure or misuse including:

1. physical and technical access restrictions commensurate with the data classification level;
2. handling and labeling of all media according to its indicated classification (sensitivity) level;
3. periodic review (at a minimum annually) of distribution and authorized recipient lists; and
4. monitoring the status and location of media containing unencrypted covered information.

The organization shall maintain inventories of media to maintain strict control over storage and accessibility. Management shall approve any and all media that is moved from a secured area, especially when media is distributed to individuals.
Maintenance of formal records of data transfers, including logging and an audit trail shall be maintained.

Inventory and disposition records for information system media shall be maintained to ensure control and accountability of the organization's information. The media related records shall contain sufficient information to reconstruct the data in the event of a breach.

The media records shall, at a minimum, contain:

1. the name of media recipient;
2. the signature of media recipient;
3. the date/time media received;
4. the media control number and contents;
5. the movement or routing information; and
6. if disposed of, the date, time, and method of destruction.

The information system implements cryptographic mechanisms to protect the confidentiality and integrity of sensitive (non-public) information stored on digital media during transport outside of controlled areas.

",Y,,"
Organizational",Cryptography; Data Loss Prevention; Documentation and Records; Media and Assets; Monitoring; User Access
HITRUST,2016V8.0,9,Communications and Operations Management,"To ensure that operating procedures are documented, maintained and made available to all users who need them.",9.07,Media Handling,"Prevent unauthorized disclosure, modification, removal or destruction of information assets, or interruptions to business activities",09.r ,Security of System Documentation,"System documentation shall be protected against unauthorized access.
","The organization:

1. Obtains administrator documentation for the information system, system component, or information system service that describes:
i. Secure configuration, installation, and operation of the system, component, or service;
ii. Effective use and maintenance of security functions/mechanisms; and
iii. Known vulnerabilities regarding configuration and use of
administrative (i.e., privileged) functions;
2. Obtains user documentation for the information system, system component, or information system service that describes:
i. User-accessible security functions/mechanisms and how to effectively use those security functions/mechanisms;
ii. Methods for user interaction, which enables individuals to use the system, component, or service in a more secure manner; and
iii. User responsibilities in maintaining the security of the system, component, or service.

Organizations shall document attempts to obtain information system documentation when such documentation is either unavailable or non-existent.

The organization shall protect system documentation in accordance with the organizations risk management strategy, e.g., by access controls (see 1.0), and distribute documentation to organization-defined personnel with the need for such documentation. The access list for system documentation shall be kept to a minimum and authorized by the application owner.

",N,,"
Organizational",Authorization; Documentation and Records; User Access
HITRUST,2016V8.0,9,Communications and Operations Management,"To ensure that operating procedures are documented, maintained and made available to all users who need them.",9.08,Exchange of Information,"Ensure the exchange of information within an organization and with any external entity is secured and protected, and carried out in compliance with relevant legislation and exchange agreements.",09.s ,Information Exchange Policies and Procedures,"Formal exchange policies, procedures, and controls shall be in place to protect the exchange of information through the use of all types of communication mediums.
","The organization shall ensure that communications protection requirements, including the security of exchanges of information, is the subject of policy development (see also 04.a and 04.b) and compliance audits (see 06.g) consistent with relevant legislation.

When using electronic communication applications or systems for information exchange, the following items shall be addressed:

1. policies or guidelines shall be defined outlining acceptable use of electronic communication applications or systems;
2. the use of anti-malware for the detection of and protection against
malicious code that may be transmitted through the use of electronic communications;
3. procedures shall be implemented for the use of wireless communications including an appropriate level of encryption (see 09.m);
4. employee, contractor and any other user's responsibilities shall be defined to not compromise the organization (e.g., through defamation, harassment, impersonation, forwarding of chain letters, unauthorized purchasing, etc.);
5. the required use of cryptographic techniques to protect the confidentiality, integrity and authenticity of covered information;
6. the retention and disposal guidelines shall be defined for all business correspondence, including messages, in accordance with relevant national and local legislation and regulations; and
7. controls and restrictions shall be implemented associated with the forwarding of communications (e.g., automatic forwarding of electronic mail to external mail addresses).
The organization shall establish terms and conditions, consistent with any trust relationship established with other organizations owning, operating, and/or maintaining external information systems, allowing authorized individuals to:

1. access the information system from external information systems; and
2. process, store or transit organization-controlled information using external information systems.

Personnel shall be appropriately educated and periodically reminded of the following:

1. not to leave covered or critical information on printing systems (e.g., copiers, printers, and facsimile machines) as these may be accessed by unauthorized personnel;
2. that they should take necessary precautions, including not to reveal covered information to avoid being overheard or intercepted when making a phone call by:
i. people in their immediate vicinity particularly when using mobile phones;
ii. wiretapping, and other forms of eavesdropping through physical access to the phone handset or the phone line, or using scanning receivers; or
iii. people at the recipient's end;
3. not leaving messages containing sensitive information on answering machines since these may be replayed by unauthorized persons, stored on communal systems or stored incorrectly as a result of misdialing;
4. the problems of using facsimile machines, namely:
i. unauthorized access to built-in message stores to retrieve messages;
ii. deliberate or accidental programming of machines to send messages to specific numbers; and
iii. sending documents and messages to the wrong number either by misdialing or using the wrong stored number;
5. not to register demographic data, such as the e-mail address or other personal information, in any software to avoid collection for unauthorized use; and
6. that modern facsimile machines and photocopiers have page caches and store pages in case of a paper or transmission fault, which will be printed once the fault is cleared.

Cryptography shall be used to protect the confidentiality and integrity of remote access sessions to the internal network and to external systems.

Formal procedures shall be defined to encrypt data in transit including use of strong cryptography protocols to safeguard covered information during transmission over less trusted I open public networks.

Valid encryption processes include:

1. transport Layer Security (TLS) 1.1 or later
2. IPSec VPNs:
i. gateway-To-Gateway   Architecture
ii. host-To-Gateway  Architecture
iii. host-To-Host  Architecture
3. TLS VPNs:
i. Portal VPN
ii. Tunnel VPN

See NIST SPS00-52 Guidelines for the Selection and Use of Transport Layer Security (TLS) Implementation and NIST SPB00-77 Guide to IPsec VPNs for more information on implementing encryption technologies for information
transmissions.
Examples of less trusted I open, public networks include:
1. the Internet;
2. wireless technologies;
3. Global System for Mobile communications (GSM); and
4. General Packet Radio Service (GPRS).

The organization shall permit authorized individuals to use an external information system to access the information system or to process, store or transmit organization-controlled information only when then organization:

1.   verifies the implementation of required security controls on the external system as specified in the organization's information security policy and security plan; or
2.   retains approved information connection or processing agreements with the organizational entity hosting the external information system (see 09.t).

The organization shall limit the use of organization-controlled portable storage media by authorized individuals on external information systems. Terms and conditions shall be established for authorized individuals to:
1. to access the information system from an external information system
shall be established; and
2. to process, store and/or transmit organization-controlled information using an external information system.

The information system shall:
1.  prohibit remote activation of collaborative computing devices; and
2.  provide an explicit indication of use to users physically present at the devices
",Y,,"
Organizational",Awareness and Training; Communications and Transmissions; Cryptography; Personnel; Policies and Procedures; Third Parties and Contractors; Viruses and Malware
HITRUST,2016V8.0,9,Communications and Operations Management,"To ensure that operating procedures are documented, maintained and made available to all users who need them.",9.08,Exchange of Information,"Ensure the exchange of information within an organization and with any external entity is secured and protected, and carried out in compliance with relevant legislation and exchange agreements.",09.t ,Exchange Agreements,"Agreements shall be established and implemented for the exchange of information and software between the organization and external parties.
","Exchange and data sharing agreements shall specify the minimum set of controls on responsibility, procedures, technical standards and solutions.

The exchange agreements shall also specify organization policies including:

1. classification policy for the sensitivity of the business information;
2. management responsibilities for controlling and notifying transmission, dispatch, and receipt;
3. procedures for notifying sender of transmission, dispatch, and receipt;
4. procedures to ensure traceability and non-repudiation;
5. minimum technical standards for packaging and transmission;
6. courier identification standards;
7. responsibilities and liabilities in the event of information security incidents, such as loss of data;
8. use of an agreed labeling system for covered or critical information, ensuring that the meaning of the labels is immediately understood and that the information is appropriately protected;
9. ownership and responsibilities for data protection, copyright, software license compliance and similar considerations;
10. technical standards for recording and reading information and software;
11. any special controls that may be required to protect covered items, including cryptographic keys; and
12. escrow agreements.

Policies, procedures, and standards shall be established and maintained to protect information and physical media in transit, and shall be referenced in such exchange agreements.
",N,,"
Organizational",Communications and Transmissions; Data Loss Prevention; IT Organization and Management Roles and Responsibilities; Media and Assets; Requirements (Legal and Contractual); Third Parties and Contractors
HITRUST,2016V8.0,9,Communications and Operations Management,"To ensure that operating procedures are documented, maintained and made available to all users who need them.",9.08,Exchange of Information,"Ensure the exchange of information within an organization and with any external entity is secured and protected, and carried out in compliance with relevant legislation and exchange agreements.",09.u ,Physical Media in Transit,"Media containing information shall be protected against unauthorized access, misuse or corruption during transportation beyond the organization's physical boundaries.","The following procedures shall be established to protect information media being transported between sites:

1. reliable transport or couriers shall be used that can be tracked;
2. a list of authorized couriers shall be agreed with management;
3. procedures to check the identification of couriers shall be developed; and
4. packaging shall be sufficient to protect the contents from any physical damage likely to arise during transit and in accordance with any manufacturers' specifications (e.g., for software) for example protecting against any environmental factors that may reduce the media's restoration effectiveness such as exposure to heat, moisture or electromagnetic fields.

Controls shall be adopted to protect covered information from unauthorized disclosure or modification, including at least one of the following:
1.  use of locked containers;
2.  delivery by hand;
3.  tamper-evident packaging (which reveals any attempt to gain access); or 
4.  splitting of the consignment into more than one delivery and dispatch by different routes.

Media shall be encrypted when being moved off site. Media shall be encrypted on­ site unless physical security can be guaranteed.

The information system implements cryptographic mechanisms to protect the confidentiality and integrity of sensitive (non-public) information stored on digital media during transport outside of control areas.

",N,,"
Organizational",Communications and Transmissions; Cryptography; Media and Assets; Policies and Procedures; Services and Acquisitions
HITRUST,2016V8.0,9,Communications and Operations Management,"To ensure that operating procedures are documented, maintained and made available to all users who need them.",9.08,Exchange of Information,"Ensure the exchange of information within an organization and with any external entity is secured and protected, and carried out in compliance with relevant legislation and exchange agreements.",09.v ,Electronic Messaging,"Information involved in electronic messaging shall be appropriately protected.
","Legal considerations,  including requirements for electronic signatures, shall be
addressed. Approval shall be obtained prior to using external public services, including instant messaging or file sharing. Stronger levels of authentication controlling access from publicly accessible networks shall be implemented.

Stronger controls, such as electronic signatures, shall be implemented to protect certain electronic messages (e.g., clinical information).

The electronic messages shall be protected throughout the duration of its end-to­ end transport path. Cryptographic mechanisms shall be employed to protect message integrity and confidentiality unless protected by alternative measures, e.g., physical controls.

The organization shall never send unencrypted sensitive information (e.g., covered information, PANs, FTI) by end-user messaging technologies (e.g., e­ mail, instant messaging, and chat).
",N,,"
Organizational",Authentication; Authorization; Communications and Transmissions
HITRUST,2016V8.0,9,Communications and Operations Management,"To ensure that operating procedures are documented, maintained and made available to all users who need them.",9.08,Exchange of Information,"Ensure the exchange of information within an organization and with any external entity is secured and protected, and carried out in compliance with relevant legislation and exchange agreements.",09.w ,Interconnected Business Information Systems,Policies and procedures shall be developed and implemented to protect information associated with the interconnection of business information systems.,"Security and business implications shall be addressed for interconnecting  business information assets including:
1.  policy and appropriate controls to manage information sharing;
2.  excluding categories of sensitive business information and classified documents if the system does not provide an appropriate level of protection;
3.  categories of personnel, contractors or business partners allowed to use the system and the locations from which it may be accessed;
4.  restricting selected systems and facilities to specific categories of user; and
5.  identifying the status of users (e.g., employees of the organization or contractors in directories for the benefit of other users).

The organization:

1.   Authorizes and approves connections of defined internal information system components or classes of components (defined in the applicable security plan) to the information system; and
2.  Documents, for each internal connection, the interface characteristics, security requirements, and the nature of the information communicated along with their security and business implications.

Security and business implications shall be addressed for interconnecting business information assets including:

1. known vulnerabilities in the administrative and accounting systems where information is shared between different parts of the organization;
2. restricting access to diary information relating to selected individuals (e.g., personnel working on sensitive projects); and
3. vulnerabilities of information in business communication systems (e.g., recording phone calls or conference calls, confidentiality of calls, storage of facsimiles, opening mail, distribution of mail).

Interconnected business information systems shall be linked to other requirements and controls, including:

1. the separation of operational systems from interconnected system;
2. the retention and back-up of information held on the system; and
3. the fallback requirements and arrangements.

A baseline shall be established for basic security hygiene in interconnected systems.


",N,,"
Organizational",Communications and Transmissions; Physical and Facility Security; Policies and Procedures; User Access; Network Security
HITRUST,2016V8.0,9,Communications and Operations Management,"To ensure that operating procedures are documented, maintained and made available to all users who need them.",9.09,Electronic Commerce Services,"Ensure the security of electronic commerce services, and their secure use.",09.x, Electronic Commerce Services,"Information involved in electronic commerce passing over public networks shall be protected from fraudulent activity, contract dispute, and unauthorized disclosure or modification.
","The confidentiality and integrity for electronic commerce shall be maintained by ensuring the following:

1. the level of confidence each party requires in each other's claimed identity (e.g., through authentication);
2. authorization processes associated with who may set prices, issue or sign key trading documents;
3. ensuring that trading partners are fully informed of their authorizations;
4. determining and meeting requirements for confidentiality, integrity, proof of dispatch and receipt of key documents, and the non-repudiation of contracts (e.g., associated with tendering and contract processes);
5. the level of trust required in the integrity of advertised price lists;
6. the confidentiality of any covered data or information;
7. the confidentiality and integrity of any order transactions, payment information, delivery address details, and confirmation of receipts;
8. the degree of verification appropriate to check payment information supplied by a customer;
9. selecting the most appropriate settlement form of payment to guard against fraud;
10. the level of protection required to maintain the confidentiality and integrity of order information;
11. avoidance of loss or duplication of transaction information;
12. liability associated with any fraudulent transactions; and
13. insurance requirements.
A documented agreement shall be committed and maintained for electronic commerce arrangements between trading partners on the agreed terms of trading, including details of authorization. Other agreements with information service and value added network providers shall also be required.

Attacks of the host(s) used for electronic commerce shall be addressed to provide resilient service(s). The security implications of any network interconnection required for the implementation of electronic commerce services shall be identified and addressed.

Cryptographic controls shall be used to enhance security, taking into account compliance with legal requirements.

",N,,"
Organizational",Authorization; Cryptography; Data Loss Prevention; Requirements (Legal and Contractual); Third Parties and Contractors
HITRUST,2016V8.0,9,Communications and Operations Management,"To ensure that operating procedures are documented, maintained and made available to all users who need them.",9.09,Electronic Commerce Services,"Ensure the security of electronic commerce services, and their secure use.",09.y ,OnLine Transactions,"Information involved in on-line transactions shall be protected to prevent incomplete transmission, misrouting, unauthorized message alteration, unauthorized disclosure, unauthorized message duplication or replay.
","Data involved in electronic commerce and online transactions shall be checked to determine if it contains covered information.

Security shall be maintained through all aspects of the transaction, ensuring that:

1. user credentials of all parties are valid and verified;
2. the transaction remains confidential; and
3. privacy associated with all parties involved is retained.

Protocols used to communicate between all involved parties shall be secured using cryptographic techniques (e.g., SSL).

The use of electronic signatures by each of the parties involved in the transaction shall be required.

The organization shall ensure the storage of the transaction details are located outside of any publicly accessible environments (e.g., on a storage platform existing on the organization's intranet) and not retained and exposed on a storage medium directly accessible from the Internet.

Where a trusted authority is used (e.g., for the purposes of issuing and maintaining digital signatures and/or digital certificates) security shall be integrated and embedded throughout the entire end-to-end certificate/signature management process.

Communications path between all involved parties shall be encrypted. The protocols used for communications shall be enhanced to address any new vulnerability, and the updated versions shall be adopted as soon as possible.
",N,,"
Organizational",Authentication; Communications and Transmissions; Cryptography
HITRUST,2016V8.0,9,Communications and Operations Management,"To ensure that operating procedures are documented, maintained and made available to all users who need them.",9.09,Electronic Commerce Services,"Ensure the security of electronic commerce services, and their secure use.",09.z ,Publicly Available Information,The integrity of information being made available on a publicly available system shall be protected to prevent unauthorized modification.,"There shall be a formal approval process before information is made publicly available. In addition, all input provided from the outside to the system shall be verified and approved. The source {authorship) of publicly available information shall be stated.

The organization ensures that network access controls, operating system file permissions and application configurations protect the integrity of information stored, processed, and transmitted by publicly accessible systems, as well as the integrity of publicly accessible applications.

The organization shall:

1. designate individuals authorized to post information onto a publicly accessible information system;
2. train authorized individuals to ensure that publicly accessible information does not contain nonpublic information;
3. review the proposed content of information prior to posting onto the publically accessible information system prior to posting to ensure non­ public information is not included;
4. review the content on the publicly accessible information systems for nonpublic information bi-weekly; and
5. remove nonpublic information from the publicly accessible information systems, if discovered.

The publicly accessible system shall be tested against weaknesses and failures prior to information being made available. Installation checklist and vulnerability testing shall be implemented to ensure security baselines and configuration baselines are met or exceeded.

Electronic publishing systems  especially those that permit feedback and direct entering of information, shall be carefully controlled so that:

1. information is obtained in compliance with any data protection legislation;
2. information input to, and processed by, the publishing system will be processed completely and accurately in a timely manner;
3. covered information will be protected during collection, processing, and storage; and
4. access to the publishing system does not allow unintended access to networks to which the system is connected.

Publicly available health information (as distinct from personal health information) shall be archived.

Software, data, and other information requiring a high level of integrity being made available on a publicly available system shall be protected by appropriate mechanisms, including digital signatures. The signatures themselves provide a convenient point for either access or denial of service attack, and require extra protection. Digital Signatures shall be protected on a secure fault-tolerant system (e.g., increased capacity and bandwidth, service redundancy) with protected access and with full auditing.

",N,,"
Organizational",Authorization
HITRUST,2016V8.0,9,Communications and Operations Management,"To ensure that operating procedures are documented, maintained and made available to all users who need them.",9.1,Monitoring,Ensure information security events are monitored and recorded to detect unauthorized information processing activities in compliance with all relevant legal requirements.,09.aa ,Audit Logging,"Audit logs recording user activities, exceptions, and information security events shall be produced and kept for an agreed period to assist in future investigations and access control monitoring.","Information systems processing covered information shall create a secure audit record each time a user accesses, creates, updates, or archives covered
information via the system. The audit logs shall include:
1. a unique user identifier;
2. a unique data subject (e.g., the patient) identifier;
3. the function performed by the user (e.g., log-in, record creation, access, update, etc.); and
4. the time and date that the function was performed. Logs for operators or administrators shall also include:
1. the type of event that occurred (e.g., success or failure);
2. the time at which an event occurred;
3. information about the event (e.g., files handled) or failure (e.g., error occurred and corrective action taken);
4. the account(s) and administrator(s) or operator(s) involved; and
5. the process(es) involved.

Retention for audit logs shall be specified by the organization and retained accordingly.

Messaging systems used to transmit messages containing covered information shall keep a log of message transmissions, such a log shall contain the time, date, origin and destination of the message, but not its content. The organization shall carefully assess and determine the retention period for these audit logs, with particular reference to professional standards and legal obligations in order to enable investigations to be carried out when necessary and to provide evidence of misuse where necessary.

Audit logs shall include, but are not limited to:

1. dates, times, and details of key events (e.g., log-on and log-off);
2. records of successful and rejected system access attempts;
3. records of successful and rejected data and other resource access attempts;
4. changes to system configuration and procedures for managing configuration changes;
5. use of privileges;
6. use of system utilities and applications;
7. files accessed and the kind of access;
8. network addresses and protocols;
9. alarms raised by the access control system;
10. activation and de-activation of protection systems, including anti-virus systems and intrusion detection systems, and identification and authentication mechanisms; and
11. creation and deletion of system level objects.

The organization shall provide a rationale for why the auditable events are deemed adequate to support after the fact investigations of security incidents and which events require auditing on a continuous basis in response to specific situations. The listing of auditable events shall be reviewed and updated within every three hundred sixty-five (365) days. Information systems' audit logging systems shall be operational at all times while the information system being audited is available for use. Where necessary for highly sensitive logs, separation of duties and split key access shall be employed.

Audit records shall be retained for ninety (90) days, and old records archived for one (1) year to provide support for after-the-fact investigations of security incidents and to meet regulatory and the organization's retention requirements.

1. server alerts and error messages;
2. user log-on and log-off (successful or unsuccessful);
3. all system administration activities;
4. modification of privileges and access;
5. Start up and shut down;
6. application modifications;
7. application alerts and error messages;
8. configuration changes;
9. account creation, modification, or deletion;
10. file creation and deletion;
11. read access to sensitive information;
12. modification to sensitive information; and
13. printing sensitive information.

The information system also generates audit records containing the following additional, more detailed information:

1. Filename accessed;
2. Program or command used to initiate the event; and
3. Source and destination addresses.

Disclosures of covered information shall be recorded. Information type, date, time, receiving party, and releasing party shall be logged. The organization shall verify every ninety (90) days for each extract that the data is erased or its use is still required.

Account creation, modification, disabling, enabling and removal actions shall be automatically logged and audited providing notification as required to appropriate individuals.
",Y,,"
System",Audit and Accountability; Documentation and Records; Incident Response; User Access
